ATLAS12_p1_PostAnneal
IV Measurement
Measurement started at 15:42:04.927 07/02/2019 by Cameron(Kostas) on epllt004.

-30.8C
Alibava
ISO7

KEITHLEY INSTRUMENTS INC.
MODEL 2410
4363651
C34 Sep 21 2016 15:30:00/A02  /K/M

Keithley Current Range: 1.05uA (Auto on)
Keithley Source Voltage Range: 1.1kV
Compliance Level: 30uA

Time/Date (HHMMSS.sss)	Voltage (V)	Current (A)	
15:42:04.927	0E+0	1.390204E-8
15:42:06.642	0E+0	1.430961E-8
15:42:08.353	0E+0	1.44375E-8
15:42:10.064	0E+0	1.453505E-8
15:42:11.775	0E+0	1.461169E-8
15:42:16.113	-5E+1	-1.809487E-6
15:42:18.443	-5E+1	-1.79423E-6
15:42:20.153	-5E+1	-1.789782E-6
15:42:21.864	-5E+1	-1.78544E-6
15:42:23.576	-5E+1	-1.78269E-6
15:42:27.297	-1E+2	-2.465527E-6
15:42:29.012	-1E+2	-2.46207E-6
15:42:30.723	-1E+2	-2.460202E-6
15:42:32.433	-1E+2	-2.455774E-6
15:42:34.143	-1E+2	-2.453908E-6
15:42:37.863	-1.5E+2	-2.998817E-6
15:42:39.579	-1.5E+2	-2.992691E-6
15:42:41.290	-1.5E+2	-2.990104E-6
15:42:43.001	-1.5E+2	-2.98405E-6
15:42:44.712	-1.5E+2	-2.983922E-6
15:42:48.434	-2E+2	-3.403778E-6
15:42:50.148	-2E+2	-3.401391E-6
15:42:51.859	-2E+2	-3.39853E-6
15:42:53.569	-2E+2	-3.393998E-6
15:42:55.280	-2E+2	-3.391172E-6
15:42:59.003	-2.5E+2	-3.681374E-6
15:43:00.717	-2.5E+2	-3.678462E-6
15:43:02.428	-2.5E+2	-3.674933E-6
15:43:04.139	-2.5E+2	-3.673404E-6
15:43:05.849	-2.5E+2	-3.669866E-6
15:43:09.571	-3E+2	-3.869052E-6
15:43:11.286	-3E+2	-3.866611E-6
15:43:12.997	-3E+2	-3.862985E-6
15:43:14.708	-3E+2	-3.862773E-6
15:43:16.420	-3E+2	-3.859106E-6
15:43:20.141	-3.5E+2	-4.009385E-6
15:43:21.857	-3.5E+2	-4.002363E-6
15:43:23.568	-3.5E+2	-4.003582E-6
15:43:25.279	-3.5E+2	-4.002097E-6
15:43:26.990	-3.5E+2	-3.998357E-6
15:43:30.710	-4E+2	-4.118761E-6
15:43:32.426	-4E+2	-4.116489E-6
15:43:34.138	-4E+2	-4.115009E-6
15:43:35.849	-4E+2	-4.113781E-6
15:43:37.560	-4E+2	-4.111948E-6
15:43:41.282	-4.5E+2	-4.214038E-6
15:43:42.997	-4.5E+2	-4.210059E-6
15:43:44.708	-4.5E+2	-4.20894E-6
15:43:46.419	-4.5E+2	-4.206317E-6
15:43:48.130	-4.5E+2	-4.207343E-6
15:43:51.853	-5E+2	-4.302052E-6
15:43:53.567	-5E+2	-4.296282E-6
15:43:55.279	-5E+2	-4.293589E-6
15:43:56.990	-5E+2	-4.291203E-6
15:43:58.701	-5E+2	-4.291208E-6
15:44:02.423	-5.5E+2	-4.374255E-6
15:44:04.138	-5.5E+2	-4.372305E-6
15:44:05.849	-5.5E+2	-4.370415E-6
15:44:07.560	-5.5E+2	-4.367894E-6
15:44:09.271	-5.5E+2	-4.367945E-6
15:44:12.992	-6E+2	-4.445502E-6
15:44:14.708	-6E+2	-4.444711E-6
15:44:16.420	-6E+2	-4.443814E-6
15:44:18.131	-6E+2	-4.443447E-6
15:44:19.842	-6E+2	-4.441115E-6
15:44:23.564	-6.5E+2	-4.518611E-6
15:44:25.279	-6.5E+2	-4.516153E-6
15:44:26.990	-6.5E+2	-4.514766E-6
15:44:28.701	-6.5E+2	-4.513484E-6
15:44:30.412	-6.5E+2	-4.51309E-6
15:44:34.136	-7E+2	-4.589195E-6
15:44:35.849	-7E+2	-4.586088E-6
15:44:37.560	-7E+2	-4.584475E-6
15:44:39.272	-7E+2	-4.58567E-6
15:44:40.983	-7E+2	-4.58496E-6
15:44:44.706	-7.5E+2	-4.660983E-6
15:44:46.420	-7.5E+2	-4.658376E-6
15:44:48.131	-7.5E+2	-4.658847E-6
15:44:49.842	-7.5E+2	-4.658142E-6
15:44:51.553	-7.5E+2	-4.657886E-6
15:44:55.275	-8E+2	-4.734569E-6
15:44:56.990	-8E+2	-4.734214E-6
15:44:58.701	-8E+2	-4.732364E-6
15:45:00.413	-8E+2	-4.731726E-6
15:45:02.124	-8E+2	-4.731949E-6
15:45:05.845	-8.5E+2	-4.812513E-6
15:45:07.561	-8.5E+2	-4.811815E-6
15:45:09.273	-8.5E+2	-4.809893E-6
15:45:10.983	-8.5E+2	-4.809348E-6
15:45:12.694	-8.5E+2	-4.809167E-6
15:45:16.417	-9E+2	-4.895798E-6
15:45:18.132	-9E+2	-4.892183E-6
15:45:19.843	-9E+2	-4.893687E-6
15:45:21.554	-9E+2	-4.891924E-6
15:45:23.265	-9E+2	-4.890846E-6
15:45:26.987	-9.5E+2	-4.982381E-6
15:45:28.702	-9.5E+2	-4.983133E-6
15:45:30.413	-9.5E+2	-4.982816E-6
15:45:32.125	-9.5E+2	-4.979908E-6
15:45:33.835	-9.5E+2	-4.980137E-6
15:45:37.556	-1E+3	-5.079473E-6
15:45:39.273	-1E+3	-5.079149E-6
15:45:40.984	-1E+3	-5.077072E-6
15:45:42.695	-1E+3	-5.075523E-6
15:45:44.406	-1E+3	-5.076904E-6
