ATLAS12_P1_PreAnnealing
IV Measurement
Measurement started at 14:48:46.610 06/02/2019 by Cameron(Kostas) on epllt004.

-29.8C 
Alibava
ISO7

KEITHLEY INSTRUMENTS INC.
MODEL 2410
4363651
C34 Sep 21 2016 15:30:00/A02  /K/M

Keithley Current Range: 1.05uA (Auto on)
Keithley Source Voltage Range: 1.1kV
Compliance Level: 30uA

Time/Date (HHMMSS.sss)	Voltage (V)	Current (A)	
14:48:46.610	-5E+1	-1.180511E-6
14:48:47.775	0E+0	1.467504E-8
14:48:48.941	0E+0	1.282555E-8
14:48:49.941	0E+0	1.298535E-8
14:48:50.941	0E+0	1.277558E-8
14:48:53.949	0E+0	1.273703E-8
14:48:55.420	-5E+1	-1.188043E-6
14:48:56.891	-5E+1	-1.1831E-6
14:48:57.891	-5E+1	-1.180214E-6
14:48:58.891	-5E+1	-1.175918E-6
14:49:01.898	-5E+1	-1.175494E-6
14:49:02.898	-1E+2	-1.640136E-6
14:49:03.898	-1E+2	-1.638116E-6
14:49:04.899	-1E+2	-1.636356E-6
14:49:05.898	-1E+2	-1.636024E-6
14:49:08.904	-1E+2	-1.632973E-6
14:49:09.905	-1.5E+2	-2.015685E-6
14:49:10.905	-1.5E+2	-2.008578E-6
14:49:11.905	-1.5E+2	-2.010358E-6
14:49:12.905	-1.5E+2	-2.005158E-6
14:49:15.914	-1.5E+2	-2.007831E-6
14:49:16.914	-2E+2	-2.343889E-6
14:49:17.914	-2E+2	-2.337318E-6
14:49:18.914	-2E+2	-2.339308E-6
14:49:19.914	-2E+2	-2.333284E-6
14:49:22.924	-2E+2	-2.336282E-6
14:49:23.925	-2.5E+2	-2.643085E-6
14:49:24.925	-2.5E+2	-2.63483E-6
14:49:25.925	-2.5E+2	-2.636251E-6
14:49:26.925	-2.5E+2	-2.63224E-6
14:49:29.931	-2.5E+2	-2.633323E-6
14:49:30.931	-3E+2	-2.913603E-6
14:49:31.931	-3E+2	-2.910969E-6
14:49:32.931	-3E+2	-2.905891E-6
14:49:33.931	-3E+2	-2.906494E-6
14:49:36.943	-3E+2	-2.905262E-6
14:49:37.943	-3.5E+2	-3.158601E-6
14:49:38.943	-3.5E+2	-3.156776E-6
14:49:39.944	-3.5E+2	-3.152176E-6
14:49:40.943	-3.5E+2	-3.152472E-6
14:49:43.950	-3.5E+2	-3.150682E-6
14:49:44.951	-4E+2	-3.379525E-6
14:49:45.951	-4E+2	-3.372963E-6
14:49:46.951	-4E+2	-3.372552E-6
14:49:47.951	-4E+2	-3.370639E-6
14:49:50.961	-4E+2	-3.372526E-6
14:49:51.961	-4.5E+2	-3.571218E-6
14:49:52.961	-4.5E+2	-3.566469E-6
14:49:53.961	-4.5E+2	-3.565684E-6
14:49:54.961	-4.5E+2	-3.564595E-6
14:49:57.967	-4.5E+2	-3.56352E-6
14:49:58.968	-5E+2	-3.740994E-6
14:49:59.968	-5E+2	-3.736798E-6
14:50:00.968	-5E+2	-3.736537E-6
14:50:01.968	-5E+2	-3.733587E-6
14:50:04.977	-5E+2	-3.735822E-6
14:50:05.977	-5.5E+2	-3.890972E-6
14:50:06.977	-5.5E+2	-3.887568E-6
14:50:07.977	-5.5E+2	-3.888231E-6
14:50:08.977	-5.5E+2	-3.88657E-6
14:50:11.986	-5.5E+2	-3.886515E-6
14:50:12.986	-6E+2	-4.025702E-6
14:50:13.986	-6E+2	-4.025623E-6
14:50:14.986	-6E+2	-4.023918E-6
14:50:15.986	-6E+2	-4.02411E-6
14:50:18.992	-6E+2	-4.023865E-6
14:50:19.993	-6.5E+2	-4.155763E-6
14:50:20.993	-6.5E+2	-4.153181E-6
14:50:21.993	-6.5E+2	-4.151851E-6
14:50:22.993	-6.5E+2	-4.150706E-6
14:50:26.002	-6.5E+2	-4.148884E-6
14:50:27.002	-7E+2	-4.271014E-6
14:50:28.002	-7E+2	-4.270733E-6
14:50:29.002	-7E+2	-4.272551E-6
14:50:30.002	-7E+2	-4.270508E-6
14:50:33.013	-7E+2	-4.270019E-6
14:50:34.014	-7.5E+2	-4.386483E-6
14:50:35.014	-7.5E+2	-4.384694E-6
14:50:36.014	-7.5E+2	-4.384294E-6
14:50:37.014	-7.5E+2	-4.384246E-6
14:50:40.023	-7.5E+2	-4.385588E-6
14:50:41.024	-8E+2	-4.497336E-6
14:50:42.024	-8E+2	-4.497764E-6
14:50:43.024	-8E+2	-4.497072E-6
14:50:44.024	-8E+2	-4.499237E-6
14:50:47.031	-8E+2	-4.499087E-6
14:50:48.031	-8.5E+2	-4.61334E-6
14:50:49.031	-8.5E+2	-4.609891E-6
14:50:50.031	-8.5E+2	-4.60942E-6
14:50:51.031	-8.5E+2	-4.608762E-6
14:50:54.038	-8.5E+2	-4.609435E-6
14:50:55.039	-9E+2	-4.725269E-6
14:50:56.039	-9E+2	-4.725847E-6
14:50:57.040	-9E+2	-4.7257E-6
14:50:58.040	-9E+2	-4.726142E-6
14:51:01.049	-9E+2	-4.726498E-6
14:51:02.049	-9.5E+2	-4.845187E-6
14:51:03.049	-9.5E+2	-4.842943E-6
14:51:04.049	-9.5E+2	-4.842859E-6
14:51:05.049	-9.5E+2	-4.841932E-6
14:51:08.058	-9.5E+2	-4.841915E-6
14:51:09.059	-1E+3	-4.969471E-6
14:51:10.059	-1E+3	-4.96455E-6
14:51:11.059	-1E+3	-4.963404E-6
14:51:12.059	-1E+3	-4.961246E-6
