ATLAS12_P2_PreAnneal
IV Measurement
Measurement started at 17:26:24.155 08/02/2019 by Cameron(Kostas) on epllt004.

-28.0C
Alibava
ISO7

KEITHLEY INSTRUMENTS INC.
MODEL 2410
4363651
C34 Sep 21 2016 15:30:00/A02  /K/M

Keithley Current Range: 1.05uA (Auto on)
Keithley Source Voltage Range: 1.1kV
Compliance Level: 30uA

Time/Date (HHMMSS.sss)	Voltage (V)	Current (A)	
17:26:24.155	0E+0	5.283727E-9
17:26:25.865	0E+0	5.599655E-9
17:26:27.577	0E+0	5.480867E-9
17:26:29.288	0E+0	5.468517E-9
17:26:30.999	0E+0	5.486184E-9
17:26:35.337	-5E+1	-1.410324E-6
17:26:37.667	-5E+1	-1.399108E-6
17:26:39.379	-5E+1	-1.396715E-6
17:26:41.090	-5E+1	-1.393177E-6
17:26:42.801	-5E+1	-1.394079E-6
17:26:46.526	-1E+2	-1.963604E-6
17:26:48.238	-1E+2	-1.960242E-6
17:26:49.949	-1E+2	-1.956578E-6
17:26:51.660	-1E+2	-1.955081E-6
17:26:53.371	-1E+2	-1.954366E-6
17:26:57.093	-1.5E+2	-2.413343E-6
17:26:58.808	-1.5E+2	-2.412321E-6
17:27:00.519	-1.5E+2	-2.409231E-6
17:27:02.231	-1.5E+2	-2.406959E-6
17:27:03.942	-1.5E+2	-2.406376E-6
17:27:07.663	-2E+2	-2.814143E-6
17:27:09.378	-2E+2	-2.810123E-6
17:27:11.090	-2E+2	-2.807603E-6
17:27:12.801	-2E+2	-2.805592E-6
17:27:14.512	-2E+2	-2.804541E-6
17:27:18.234	-2.5E+2	-3.176587E-6
17:27:19.949	-2.5E+2	-3.173507E-6
17:27:21.660	-2.5E+2	-3.171888E-6
17:27:23.371	-2.5E+2	-3.170225E-6
17:27:25.083	-2.5E+2	-3.168035E-6
17:27:28.803	-3E+2	-3.515273E-6
17:27:30.519	-3E+2	-3.5098E-6
17:27:32.231	-3E+2	-3.506015E-6
17:27:33.942	-3E+2	-3.505265E-6
17:27:35.653	-3E+2	-3.505295E-6
17:27:39.380	-3.5E+2	-3.82777E-6
17:27:41.091	-3.5E+2	-3.825337E-6
17:27:42.802	-3.5E+2	-3.823866E-6
17:27:44.513	-3.5E+2	-3.822376E-6
17:27:46.224	-3.5E+2	-3.820346E-6
17:27:49.945	-4E+2	-4.12077E-6
17:27:51.662	-4E+2	-4.11868E-6
17:27:53.372	-4E+2	-4.117284E-6
17:27:55.084	-4E+2	-4.116522E-6
17:27:56.795	-4E+2	-4.115549E-6
17:28:00.519	-4.5E+2	-4.395617E-6
17:28:02.231	-4.5E+2	-4.392868E-6
17:28:03.942	-4.5E+2	-4.390503E-6
17:28:05.654	-4.5E+2	-4.389005E-6
17:28:07.365	-4.5E+2	-4.387936E-6
17:28:11.086	-5E+2	-4.648976E-6
17:28:12.802	-5E+2	-4.645272E-6
17:28:14.513	-5E+2	-4.64506E-6
17:28:16.225	-5E+2	-4.644972E-6
17:28:17.936	-5E+2	-4.645644E-6
17:28:21.659	-5.5E+2	-4.885157E-6
17:28:23.372	-5.5E+2	-4.883373E-6
17:28:25.084	-5.5E+2	-4.882144E-6
17:28:26.795	-5.5E+2	-4.882445E-6
17:28:28.506	-5.5E+2	-4.88043E-6
17:28:32.228	-6E+2	-5.105241E-6
17:28:33.943	-6E+2	-5.102262E-6
17:28:35.655	-6E+2	-5.100758E-6
17:28:37.366	-6E+2	-5.10151E-6
17:28:39.077	-6E+2	-5.100328E-6
17:28:42.799	-6.5E+2	-5.309098E-6
17:28:44.514	-6.5E+2	-5.307276E-6
17:28:46.225	-6.5E+2	-5.307412E-6
17:28:47.937	-6.5E+2	-5.30732E-6
17:28:49.648	-6.5E+2	-5.306573E-6
17:28:53.370	-7E+2	-5.501888E-6
17:28:55.084	-7E+2	-5.527917E-6
17:28:56.795	-7E+2	-5.500441E-6
17:28:58.506	-7E+2	-5.500333E-6
17:29:00.218	-7E+2	-5.499693E-6
17:29:03.941	-7.5E+2	-5.687032E-6
17:29:05.655	-7.5E+2	-5.686547E-6
17:29:07.366	-7.5E+2	-5.685979E-6
17:29:09.078	-7.5E+2	-5.685136E-6
17:29:10.789	-7.5E+2	-5.683723E-6
17:29:14.511	-8E+2	-5.867291E-6
17:29:16.225	-8E+2	-5.865599E-6
17:29:17.937	-8E+2	-5.865345E-6
17:29:19.648	-8E+2	-5.864489E-6
17:29:21.360	-8E+2	-5.864025E-6
17:29:25.081	-8.5E+2	-6.042379E-6
17:29:26.797	-8.5E+2	-6.037428E-6
17:29:28.508	-8.5E+2	-6.042057E-6
17:29:30.219	-8.5E+2	-6.042414E-6
17:29:31.930	-8.5E+2	-6.03703E-6
17:29:35.653	-9E+2	-6.219244E-6
17:29:37.367	-9E+2	-6.217966E-6
17:29:39.078	-9E+2	-6.217509E-6
17:29:40.790	-9E+2	-6.218845E-6
17:29:42.501	-9E+2	-6.224822E-6
17:29:46.222	-9.5E+2	-6.397594E-6
17:29:47.938	-9.5E+2	-6.397838E-6
17:29:49.649	-9.5E+2	-6.39483E-6
17:29:51.360	-9.5E+2	-6.394529E-6
17:29:53.072	-9.5E+2	-6.395081E-6
17:29:56.795	-1E+3	-6.575453E-6
17:29:58.509	-1E+3	-6.575481E-6
17:30:00.220	-1E+3	-6.573784E-6
17:30:01.931	-1E+3	-6.573746E-6
17:30:03.642	-1E+3	-6.573875E-6
